#优化拉丁超立方抽样第2、3维数据(强度2,差异度3.845e-05)
#      密度[kg/m^3]                弹性模量[GPa]                转速[r/min]         
9.634191423126681912e+03 2.178191673557379318e+02 1.514315308575341987e+04
9.807244054705628514e+03 1.700490485441819715e+02 1.553473203312184160e+04
9.850606192840918084e+03 1.729131872416882061e+02 1.611919148150389083e+04
6.777537423829308864e+03 1.997837365244498358e+02 1.651077042887231073e+04
9.416990715374042338e+03 1.671599996914358428e+02 1.690234937624073427e+04
7.059788217485013774e+03 1.775956017459554346e+02 1.729392832360915418e+04
7.296695318566151400e+03 1.890194723082340715e+02 1.768550727097757408e+04
7.469747950145098002e+03 2.295577365713536437e+02 1.807708621834599762e+04
8.466185140209337987e+03 1.717169102092394439e+02 1.846866516571441753e+04
8.628191726353366903e+03 2.230566009004820671e+02 1.886024411308283743e+04
8.710916400486343264e+03 1.746171582949757521e+02 1.925182306045125733e+04
9.743581404688018665e+03 2.056669670450761771e+02 1.964340200781968088e+04
8.335011108039834653e+03 1.864336836573280891e+02 2.003498095518810078e+04
6.603222060837719255e+03 2.087787365335411209e+02 2.042655990255652432e+04
8.681116371197729677e+03 1.712915049924062600e+02 2.081813884992494422e+04
8.598185259480975219e+03 1.853988082943197924e+02 2.120971779729336413e+04
7.040711575270449430e+03 1.709465082171367953e+02 2.160129674466178403e+04
9.043647448498722952e+03 2.219810410399484510e+02 2.199287569203020757e+04
9.373326897513519725e+03 2.016012399795569650e+02 1.494445463939862748e+04
7.744386245314794905e+03 1.720385568294221343e+02 1.533603358676704920e+04
8.555725378327417275e+03 2.299831417881867992e+02 1.572761253413546910e+04
6.670652358371206901e+03 1.843882778711488015e+02 1.656541470365440910e+04
7.384507212600365165e+03 2.039456102086603551e+02 1.695699365102282900e+04
6.604484792250361352e+03 1.713218733756463621e+02 1.734857259839124890e+04
7.147791931003806894e+03 2.244190611440263297e+02 1.774015154575967244e+04
7.122379955574561791e+03 1.760645305027277345e+02 1.813173049312809235e+04
7.213764206849396942e+03 2.188947272162715763e+02 1.852330944049651225e+04
7.787942218223301097e+03 1.818130213693760595e+02 1.891488838786493579e+04
7.840002457319596942e+03 1.776511476851655402e+02 1.930646733523335570e+04
7.917438876893742417e+03 1.787790319791862714e+02 1.969804628260177560e+04
9.785599726792261208e+03 1.766299978742937924e+02 2.008962522997019551e+04
7.815853213302993026e+03 1.939234851110084037e+02 2.048120417733861905e+04
6.950590055408256376e+03 2.227544013354494439e+02 2.087278312470703895e+04
9.093389200476471160e+03 1.734337280617448869e+02 2.126436207207546249e+04
8.878318246793280196e+03 1.786384506177105322e+02 2.165594101944388240e+04
6.713682954327118750e+03 1.654412364998763678e+02 2.204751996681230230e+04
8.134047481381195212e+03 1.781099362889070221e+02 1.499909891418072402e+04
9.397476141530123641e+03 1.751083819013473146e+02 1.539067786154914575e+04
8.790314533274487985e+03 1.931813459924445908e+02 1.578225680891756565e+04
8.928691308234356256e+03 1.783727959126030385e+02 1.617383575628598737e+04
6.648148610110883965e+03 1.812369346101092731e+02 1.700115071592512686e+04
9.117343154217818665e+03 1.811356644933441657e+02 1.739272966329354676e+04
9.074883273064258901e+03 1.817574754301659539e+02 1.778430861066196667e+04
6.974739299424860292e+03 1.912646530318178577e+02 1.817588755803039021e+04
7.340359136426673103e+03 2.353412925048461375e+02 1.856746650539881011e+04
7.513411768005620615e+03 1.619909558808684551e+02 1.895904545276723002e+04
7.686464399584567218e+03 2.140868610321885228e+02 1.935062440013565356e+04
8.617261901695539564e+03 1.822718099731175698e+02 1.974220334750407346e+04
8.032569662742462242e+03 1.829409056633967907e+02 2.013378229487249337e+04
8.205622294321408845e+03 1.651099806933238483e+02 2.052536124224091327e+04
8.378674925900357266e+03 1.789743681033972109e+02 2.091694018960933681e+04
8.551727557479303869e+03 1.897616114267978560e+02 2.130851913697776035e+04
6.724612778984945180e+03 1.754533786766167793e+02 2.170009808434618026e+04
9.309472428011329612e+03 1.744765769335000130e+02 2.209167703171460016e+04
8.679853639785087580e+03 1.792702555855578339e+02 1.504325597908302188e+04
9.243938083795093917e+03 2.234317582114813376e+02 1.543483492645144179e+04
7.295432587153509303e+03 1.834321292697683816e+02 1.582641387381986351e+04
7.877809921157526333e+03 1.825346695968135577e+02 1.621799282118828341e+04
9.590043346952988941e+03 1.820887312367184734e+02 1.660957176855670696e+04
6.620910606393459602e+03 2.333746134802946983e+02 1.733109622422492248e+04
7.468485218732455905e+03 1.807918715585043117e+02 1.772267517159334602e+04
8.063428150339619606e+03 1.859193491143764732e+02 1.811425411896176593e+04
7.140068501130302138e+03 1.894594118617652327e+02 1.850583306633018583e+04
9.763095978531935543e+03 1.803623041978431729e+02 1.889741201369860937e+04
7.614889586644353585e+03 1.769737908091336465e+02 1.928899096106702928e+04
9.172363270854879374e+03 1.661528295650789744e+02 1.968056990843544918e+04
6.839494131683842170e+03 1.664887470507656246e+02 2.007214885580387272e+04
8.005331659025038789e+03 1.675550365250289246e+02 2.046372780317229262e+04
8.036567483590574739e+03 2.202571874598158104e+02 2.085530675054071253e+04
6.706070455841110743e+03 1.994478190387631855e+02 2.124688569790913607e+04
8.524489553761881325e+03 2.067842634746392321e+02 2.163846464527755597e+04
9.216700080077669554e+03 1.814378640583768174e+02 2.203004359264597588e+04
8.870594816919776349e+03 1.604275661890566198e+02 1.498162254001439760e+04
9.200274265934571304e+03 2.186937977680040035e+02 1.537320148738281932e+04
8.228126042581732690e+03 1.852975381775547135e+02 1.576478043475123923e+04
9.389752711656617976e+03 2.045864944660904712e+02 1.615635938211966095e+04
9.164241104517786880e+03 1.845241778820537206e+02 1.654793832948808267e+04
9.735857974814513000e+03 1.866965432810240770e+02 1.693951727685650258e+04
9.051370878372228617e+03 1.879389997292483656e+02 1.788943187796502025e+04
6.867658943691501918e+03 1.838074944282779484e+02 1.828101082533344015e+04
6.793963237972407114e+03 1.900812227985869924e+02 1.867258977270186006e+04
7.973297988081871154e+03 2.061069065986073383e+02 1.906416872007028360e+04
7.386816838428343544e+03 2.093595199764119741e+02 1.945574766743870350e+04
7.559869470007291056e+03 1.779268575525079541e+02 1.984732661480712704e+04
8.974296989511261927e+03 1.883644049460815495e+02 2.023890556217554695e+04
6.634284821538974938e+03 2.042414976908210065e+02 2.063048450954396685e+04
7.232840849063961286e+03 1.954265267160283770e+02 2.102206345691238675e+04
9.147349621090208529e+03 1.895606819785303117e+02 2.141364240428080666e+04
7.416823305300735228e+03 1.872981154718182495e+02 2.180522135164923020e+04
8.854169002776678099e+03 1.927120252395698685e+02 2.219680029901765010e+04
8.771237891059923641e+03 2.344666620925800373e+02 1.514837924638607183e+04
8.944290522638870243e+03 1.742109222283925192e+02 1.553995819375449355e+04
9.718169429258770833e+03 1.875940029539789009e+02 1.593153714112291345e+04
9.290395785796765267e+03 2.295881049545937458e+02 1.632311608849133518e+04
8.236480781918566208e+03 1.904124786051395404e+02 1.671469503585975690e+04
9.101743939813304678e+03 1.886860515662642399e+02 1.710627398322817680e+04
9.809553680533606894e+03 2.224106084006095898e+02 1.749785293059659671e+04
7.025112360865935443e+03 2.000796240066104588e+02 1.838713027491730827e+04
6.914556893991470133e+03 1.936212855459757520e+02 1.877870922228573181e+04
9.266441832055417763e+03 1.942430964827975401e+02 1.917028816965415172e+04
7.167306504847725591e+03 1.921312417966990154e+02 1.956186711702257162e+04
7.433714788728311760e+03 1.837771260450378463e+02 1.995344606439099516e+04
7.606767420307259272e+03 2.322142941836438865e+02 2.034502501175941507e+04
7.882020779423838576e+03 1.925262786302920688e+02 2.073660395912783861e+04
7.344356957274785600e+03 2.328833898739231074e+02 2.112818290649625851e+04
8.125925315044101808e+03 1.796456207440674291e+02 2.151976185386467841e+04
8.298977946623048410e+03 2.129102418345115098e+02 2.191134080123309832e+04
8.472030578201996832e+03 1.914599891560287688e+02 2.230291974860151822e+04
8.480152744539089326e+03 2.010357726079909071e+02 1.525449869596994176e+04
8.818135841359890037e+03 1.921008734134588849e+02 1.564607764333836167e+04
8.595875633652996839e+03 1.952859453545526662e+02 1.603765659070678339e+04
9.562805343235566397e+03 1.917558766381894202e+02 1.642923553807520511e+04
9.337293736096733483e+03 1.748124944191866632e+02 1.682081448544362502e+04
7.571333613735847393e+03 1.945743522893500597e+02 1.721239343281204492e+04
9.683398999254626688e+03 1.800406575776604825e+02 1.760397238018046846e+04
9.856451630833575109e+03 1.950202906494451440e+02 1.799555132754888837e+04
6.922679060328563537e+03 2.247549786297129799e+02 1.857651266936169122e+04
6.852059729286987931e+03 2.004549891651200539e+02 1.896809161673011477e+04
6.998251694116890576e+03 1.984049701670080594e+02 1.935967056409853467e+04
8.271156638537644540e+03 1.947574310257491561e+02 1.975124951146695457e+04
7.486173764288196253e+03 1.968738989237803878e+02 2.014282845883537811e+04
7.517409588853732203e+03 1.942986424220076458e+02 2.053440740620379802e+04
7.779820051886206784e+03 2.195455943946132038e+02 2.092598635357221792e+04
7.863514852011627227e+03 1.984605161062181651e+02 2.131756530094063783e+04
8.697542185340827928e+03 1.995884004002389247e+02 2.170914424830906137e+04
9.608336236946999634e+03 1.974393662953464172e+02 2.210072319567748127e+04
8.382672746748468853e+03 2.330787259981340469e+02 1.505230214304590299e+04
9.647965192683215719e+03 1.626227608487157283e+02 1.544388109041432472e+04
9.089178342210158007e+03 2.025668438512185787e+02 1.583546003778274462e+04
8.901830641485312299e+03 1.640482302029708990e+02 1.622703898515116634e+04
8.768928265231945261e+03 1.635789094500961767e+02 1.661861793251958807e+04
9.247935904643207323e+03 2.122693575770814221e+02 1.701019687988800797e+04
8.444209270116592961e+03 2.359173792641129239e+02 1.740177582725642787e+04
6.694606312112554406e+03 1.687513135574776868e+02 1.779335477462485142e+04
9.767093799380048949e+03 1.991821643336556633e+02 1.818493372199327132e+04
6.692296686284576026e+03 1.855997377425873367e+02 1.879708784684411876e+04
6.749626428749616935e+03 2.155667994468017810e+02 1.918866679421253866e+04
6.652146430958995552e+03 2.361930891314553378e+02 1.958024574158096220e+04
7.268784323486458561e+03 1.977831592301862997e+02 1.997182468894938211e+04
9.357719040713451250e+03 1.862506049209289927e+02 2.036340363631780201e+04
7.441836955065406073e+03 1.641443768216622061e+02 2.075498258368622191e+04
7.427869350735654734e+03 2.008500259987131074e+02 2.114656153105464546e+04
7.666949825740649430e+03 2.026223897904287128e+02 2.153814047842306900e+04
8.090491508472689020e+03 2.037502740844494440e+02 2.192971942579148890e+04
8.999310639275932772e+03 1.703147032492894937e+02 1.488129837315990881e+04
8.307100112960142724e+03 2.099249873479780035e+02 1.527287732052832871e+04
7.493897194161701918e+03 2.051976462922014264e+02 1.566445626789675043e+04
9.224423509951175220e+03 2.004246207818799519e+02 1.605603521526517216e+04
8.941980896810891863e+03 2.307343557690306284e+02 1.644761416263359206e+04
8.653205376118037748e+03 2.022472324794294423e+02 1.683919311000201560e+04
7.642800581724045514e+03 1.928479252504747592e+02 1.723077205737043550e+04
8.263544140051637442e+03 2.028980996577711267e+02 1.762235100473885541e+04
9.518468534012774398e+03 2.011716726188958262e+02 1.801392995210727531e+04
9.691521165591722820e+03 1.849537452427148310e+02 1.840550889947569885e+04
6.679007097708040419e+03 2.062081767153724172e+02 1.942045017499053210e+04
6.825199062537943064e+03 1.693274003167445017e+02 1.981202912235895565e+04
6.843704989950154413e+03 2.067287175354290980e+02 2.020360806972737555e+04
7.198164992444882955e+03 2.280524204994333672e+02 2.059518701709579909e+04
7.371217624023830467e+03 1.724681241900832731e+02 2.098676596446421900e+04
7.544270255602777979e+03 2.139907144134972441e+02 2.137834491183263890e+04
7.717322887181724582e+03 2.341450154723973469e+02 2.176992385920105880e+04
7.890375518760672094e+03 2.020463030311618979e+02 2.216150280656947871e+04
6.741504262412522621e+03 2.079121477686599633e+02 1.511308175393790225e+04
9.749232189960028336e+03 2.057631136637674842e+02 1.550466070130632397e+04
8.409533413497514630e+03 1.848575986240235522e+02 1.589623964867474388e+04
8.582586045076461232e+03 1.678766831452116151e+02 1.628781859604316560e+04
8.755638676655409654e+03 1.962931154809095347e+02 1.667939754341158550e+04
9.576179558381079914e+03 2.208889924276631120e+02 1.707097649078000904e+04
9.510346367675680085e+03 2.370452635581336267e+02 1.746255543814842895e+04
7.254816719156707222e+03 2.109461371588497514e+02 1.785413438551684885e+04
8.120079877051443873e+03 2.145319240837934558e+02 1.824571333288527239e+04
9.620901834550146305e+03 1.667846345329262476e+02 1.863729228025369230e+04
9.612547095213312787e+03 1.937225556627408309e+02 1.902887122762211220e+04
7.589875936879681831e+03 2.258212681039762799e+02 1.964054473236041667e+04
9.320402252669155132e+03 2.105709798478505093e+02 2.003212367972883658e+04
8.209620115169522251e+03 2.167271187434525928e+02 2.042370262709726012e+04
7.320844562582754406e+03 1.731141166899557504e+02 2.081528157446568002e+04
7.171304325695838088e+03 1.806957249398130330e+02 2.120686052183409993e+04
9.703824303871344455e+03 2.098288407292866964e+02 2.159843946920252347e+04
7.641537850311403417e+03 2.091737733671341744e+02 2.199001841657094337e+04
7.814590481890350929e+03 2.072430520783807424e+02 1.494159736393936510e+04
7.578946112221855401e+03 2.120740214528704826e+02 1.533317631130778682e+04
8.160695745048245954e+03 1.728119171249231272e+02 1.572475525867620672e+04
8.333748376627192556e+03 2.135213936606224934e+02 1.611633420604462844e+04
8.506801008206140978e+03 2.102687802828178576e+02 1.650791315341305017e+04
9.128807297946374092e+03 2.070599733419816175e+02 1.689949210078147007e+04
8.728778009906363877e+03 2.185925276512389246e+02 1.729107104814988998e+04
9.025958902942982604e+03 2.064091061636399900e+02 1.768264999551831352e+04
9.199011534521929207e+03 2.114049257625912617e+02 1.807422894288673342e+04
9.372064166100877628e+03 2.112218470261921652e+02 1.846580789025515332e+04
8.178384290603986301e+03 2.094954199873168648e+02 1.885738683762357687e+04
9.594041167801100528e+03 2.171024839019621595e+02 1.924896578499199677e+04
8.532212983635385172e+03 2.081074838928708743e+02 2.033179810827237816e+04
6.908711455998812198e+03 2.144306539670283769e+02 2.072337705564080170e+04
8.955754666367425671e+03 2.150524649038501650e+02 2.111495600300922160e+04
9.274796571392251280e+03 2.129406102177516402e+02 2.150653495037764515e+04
8.186107720477491057e+03 2.174975207355552413e+02 2.189811389774606505e+04
7.600921982314601337e+03 1.859748950535866072e+02 2.228969284511448495e+04
7.773974613893548849e+03 1.911240716703421185e+02 1.524127179248290668e+04
7.947027245472496361e+03 2.133356470513446936e+02 1.563285073985132658e+04
7.704757289578578821e+03 2.162358951370810018e+02 1.602442968721974830e+04
8.293132508630391385e+03 2.151080108430602991e+02 1.641600863458816821e+04
9.504500929683023060e+03 1.658871748599714522e+02 1.680758758195659175e+04
8.639237771788286409e+03 2.147328535320610285e+02 1.719916652932501165e+04
8.812290403367233012e+03 1.932774926111358980e+02 1.759074547669343156e+04
8.985343034946181433e+03 2.160953137756052911e+02 1.798232442406185146e+04
7.557559844179312677e+03 1.734892740009550209e+02 1.837390337143027500e+04
9.331448298104074638e+03 1.980853587952189230e+02 1.876548231879869491e+04
6.967015869551354626e+03 2.153837207104026845e+02 1.915706126616711845e+04
9.677553561261971481e+03 2.136572936715273840e+02 1.954864021353553835e+04
7.260662157149364248e+03 2.158296590704977689e+02 1.994021916090395825e+04
6.588876935450292876e+03 1.869621979861315992e+02 2.039124285432279066e+04
9.027221634355624701e+03 2.075059117020767303e+02 2.078282180169121057e+04
9.262230973789104610e+03 2.337196102555641346e+02 2.117440074905963411e+04
7.859517031163515639e+03 2.116677853862872212e+02 2.156597969642805401e+04
7.281087461766082015e+03 2.176832673448330127e+02 2.195755864379647392e+04
7.454140093345029527e+03 2.181525880977077634e+02 1.490913759116489564e+04
8.161958476460888050e+03 1.989193047099596754e+02 1.530071653853331736e+04
9.447849202971197883e+03 2.192698845272708184e+02 1.569229548590173727e+04
7.095731691907511049e+03 2.203977688212915496e+02 1.608387443327015899e+04
6.897665410563892692e+03 2.182487347163990421e+02 1.647545338063858071e+04
8.852906271364034183e+03 2.164312312612919413e+02 1.686703232800700061e+04
8.492455882818714599e+03 1.765338512556024853e+02 1.725861127537542052e+04
8.665508514397661202e+03 2.170721155187220575e+02 1.765019022274384406e+04
7.935981200037576855e+03 2.212339892029325767e+02 1.804176917011226396e+04
9.011613777555556226e+03 2.320312154472447901e+02 1.843334811748068387e+04
9.184666409134502828e+03 2.197286731310123002e+02 1.882492706484910741e+04
8.396967815894367959e+03 2.205931049455024606e+02 1.921650601221752731e+04
8.897832820637198893e+03 2.264763354661288304e+02 1.960808495958594722e+04
6.949327323995614279e+03 2.199915327547083166e+02 1.999966390695437076e+04
6.666441500104894658e+03 2.310781487038705109e+02 2.106522958163147632e+04
6.886735585906066262e+03 1.772759903741662981e+02 2.145680852899989623e+04
7.123642686987202978e+03 1.831362417876077302e+02 2.184838747636831613e+04
8.079027364744133592e+03 2.212643575861727072e+02 2.223996642373673967e+04
7.405893480642907889e+03 2.237074680788237515e+02 1.519154537110515957e+04
7.987643113469298441e+03 1.879693681124884677e+02 1.558312431847358130e+04
6.761929567029240388e+03 1.970097989346852785e+02 1.597470326584200120e+04
7.925051375379750425e+03 1.723719775713919660e+02 1.636628221321042292e+04
8.098104006958697937e+03 2.275936318956918569e+02 1.675786116057884283e+04
6.735658824419864686e+03 2.030811783941701947e+02 1.714944010794726637e+04
6.821201241689830567e+03 2.087483681503009905e+02 1.754101905531568627e+04
8.574231305739627715e+03 2.125652450592420450e+02 1.793259800268410618e+04
7.845653242591606613e+03 2.233762122722712320e+02 1.832417695005252972e+04
8.963367164853434588e+03 1.706506207349761439e+02 1.871575589742094962e+04
8.920336568897522739e+03 2.046168628493305732e+02 1.910733484478936953e+04
9.070885452216145495e+03 2.238905468152228195e+02 1.949891379215779307e+04
9.482525059590276214e+03 2.033440380178661826e+02 1.989049273952621297e+04
9.655577691169224636e+03 2.192143385880606843e+02 2.028207168689463288e+04
9.828630322748171238e+03 2.241534064389188075e+02 2.067365063426305278e+04
8.351436922182932904e+03 2.289168523139235276e+02 2.143958316746221317e+04
6.879123087420058255e+03 2.269162750196599632e+02 2.183116211483063671e+04
8.724780189058252290e+03 2.275380859564817229e+02 2.222274106219905661e+04
7.398280982156899881e+03 1.692718543775343676e+02 1.517432000956747652e+04
6.776274692416666767e+03 2.260070147132540797e+02 1.556589895693589824e+04
9.530771672292397852e+03 2.301688883974645989e+02 1.595747790430431814e+04
7.751998743800802913e+03 2.103700503995829649e+02 1.634905685167273987e+04
7.988905844881940538e+03 2.278693417630342992e+02 1.674063579904115977e+04
7.960994849802247700e+03 2.270175451364250705e+02 1.713221474640958331e+04
9.636501048954660291e+03 2.265724820848201091e+02 1.752379369377800322e+04
7.225228350577952369e+03 2.077715664071842525e+02 1.791537264114642312e+04
8.609649403209532466e+03 2.272184745846926148e+02 1.830695158851484302e+04
8.782702034788479068e+03 2.253958628871430960e+02 1.869853053588326657e+04
7.081764087577759710e+03 2.285809348282368774e+02 1.909010948325168647e+04
9.461138791547733490e+03 1.901367687377971265e+02 1.948168843062010637e+04
9.301859929525320695e+03 1.885501515553593208e+02 1.987326737798852992e+04
9.474912561104269116e+03 2.245596425055020688e+02 2.026484632535694982e+04
8.645083209780943434e+03 2.261429147241589703e+02 2.065642527272536972e+04
9.821017824262164140e+03 2.084033713750315258e+02 2.104800422009379326e+04
7.905974733165186080e+03 1.908584169652345963e+02 2.166872746786959760e+04
6.807337453117922450e+03 2.228556714522145228e+02 2.206030641523801751e+04
6.980390084696869962e+03 1.871027793476073384e+02 1.501188536260643923e+04
7.153442716275816565e+03 1.905955573415386084e+02 1.540346430997486095e+04
7.627192724923977039e+03 1.956218628402393165e+02 1.579504325734328086e+04
7.499547979433711589e+03 2.306382091503393497e+02 1.618662220471170258e+04
7.672600611012659101e+03 2.223144617819182827e+02 1.657820115208012430e+04
9.420988536222153925e+03 2.317555055799023762e+02 1.696978009944854421e+04
8.055073411002786088e+03 2.316999596406922706e+02 1.736135904681696411e+04
8.191758505749501637e+03 1.758787838934499632e+02 1.775293799418538765e+04
8.364811137328448240e+03 1.973432196766551101e+02 1.814451694155380756e+04
8.537863768907394842e+03 1.762004305136326536e+02 1.853609588892222746e+04
7.952872683465154296e+03 2.313803482689031341e+02 1.892767483629065100e+04
8.883969032065289866e+03 2.327428085124473967e+02 1.931925378365907090e+04
9.057021663644238288e+03 2.292127397960841790e+02 1.971083273102749081e+04
8.319403251239766178e+03 2.352400223880810017e+02 2.010241167839591071e+04
9.403126926802133312e+03 2.108905912196396457e+02 2.049399062576433425e+04
8.282086463195471879e+03 2.303047884083695180e+02 2.088556957313275416e+04
9.463448417375711870e+03 2.324771538073398744e+02 2.127714852050117770e+04
7.052175718999005767e+03 2.311794188206355898e+02 2.226469814376539580e+04
8.146350619660818666e+03 2.036096927229737048e+02 1.521627709113381752e+04
7.070718042142840204e+03 2.358618333249027899e+02 1.560785603850223924e+04
7.243770673721787716e+03 2.337499786388042935e+02 1.599943498587066097e+04
7.358652026420684706e+03 2.343307620816751182e+02 1.639101393323908269e+04
7.832279027446091277e+03 2.348000828345498689e+02 1.678259288060750259e+04
7.762928568458629343e+03 1.966881523145025881e+02 1.717417182797592250e+04
8.838561145976607804e+03 2.053335463031063455e+02 1.756575077534434604e+04
7.189810253108049437e+03 2.119334400913947718e+02 1.795732972271276594e+04
9.230074295223184890e+03 2.348962294532411761e+02 1.834890867008118585e+04
8.455139094774418481e+03 2.287215161897125881e+02 1.874048761744960939e+04
8.050862552736473845e+03 2.355422219531136534e+02 1.913206656481802929e+04
8.801244357932313505e+03 1.978844293469513786e+02 1.952364551218644920e+04
7.732922101586238568e+03 2.369046821966579159e+02 1.991522445955486910e+04
8.252079996323080195e+03 1.828003243019210800e+02 2.030680340692329264e+04
8.991188472938838459e+03 2.363761678678544058e+02 2.069838235429171255e+04
9.493454884248103554e+03 1.962627470976694326e+02 2.108996130166013245e+04
9.666507515827050156e+03 2.283152801231293552e+02 2.148154024902855599e+04
9.839560147405998578e+03 2.366390274915503937e+02 2.187311919639697589e+04
